RESP,TC1,TT1,TC2,TT2,CHOICE
31,5,40,7,20,2
32,4,35,8,25,1
32,4,35,8,30,2
32,6,40,7,20,2
32,5,30,6,25,1
32,5,40,7,20,2
33,4,35,8,25,1
33,4,35,8,30,2
33,6,40,7,20,2
33,5,30,6,25,2
33,5,40,7,20,2
34,4,35,8,25,2
34,4,35,8,30,1
34,6,40,7,20,2
34,5,30,6,25,2
34,5,40,7,20,2
35,4,35,8,25,2
35,4,35,8,30,1
35,6,40,7,20,2
35,5,30,6,25,2
35,5,40,7,20,2
36,4,35,8,25,1
36,4,35,8,30,1
36,6,40,7,20,2
36,5,30,6,25,2
36,5,40,7,20,2
37,4,35,8,25,1
37,4,35,8,30,1
37,6,40,7,20,2
37,5,30,6,25,2
37,5,40,7,20,2
38,4,35,8,25,1
38,4,35,8,30,2
38,6,40,7,20,2
38,5,30,6,25,2
38,5,40,7,20,2
39,4,35,8,25,2
39,4,35,8,30,2
39,6,40,7,20,2
39,5,30,6,25,2
39,5,40,7,20,2
40,4,35,8,25,1
40,4,35,8,30,1
40,6,40,7,20,2
40,5,30,6,25,2
40,5,40,7,20,2
41,4,35,8,25,2
41,4,35,8,30,2
41,6,40,7,20,2
41,5,30,6,25,2
41,5,40,7,20,2
42,4,35,8,25,1
42,4,35,8,30,1
42,6,40,7,20,2
42,5,30,6,25,1
42,5,40,7,20,1
43,4,35,8,25,2
43,4,35,8,30,2
43,6,40,7,20,2
43,5,30,6,25,1
43,5,40,7,20,2
44,4,35,8,25,2
44,4,35,8,30,2
44,6,40,7,20,2
44,5,30,6,25,2
44,5,40,7,20,2
45,4,35,8,25,1
45,4,35,8,30,2
45,6,40,7,20,2
45,5,30,6,25,1
45,5,40,7,20,2
46,4,35,8,25,1
46,4,35,8,30,2
46,6,40,7,20,2
46,5,30,6,25,2
46,5,40,7,20,2
47,4,35,8,25,2
47,4,35,8,30,2
47,6,40,7,20,2
47,5,30,6,25,2
47,5,40,7,20,2
48,4,35,8,25,2
48,4,35,8,30,1
48,6,40,7,20,1
48,5,30,6,25,1
48,5,40,7,20,2
49,4,35,8,25,2
49,4,35,8,30,2
49,6,40,7,20,2
49,5,30,6,25,1
49,5,40,7,20,1
50,4,35,8,25,2
50,4,35,8,30,2
50,6,40,7,20,2
50,5,30,6,25,2
50,5,40,7,20,2
51,4,35,8,25,1
51,4,35,8,30,1
51,6,40,7,20,2
51,5,30,6,25,2
51,5,40,7,20,2
52,4,35,8,25,2
52,4,35,8,30,2
52,6,40,7,20,2
52,5,30,6,25,2
52,5,40,7,20,2
53,4,35,8,25,2
53,4,35,8,30,2
53,6,40,7,20,2
53,5,30,6,25,2
53,5,40,7,20,2
54,4,35,8,25,2
54,4,35,8,30,2
54,6,40,7,20,2
54,5,30,6,25,2
54,5,40,7,20,2
55,4,35,8,25,2
55,4,35,8,30,1
55,6,40,7,20,2
55,5,30,6,25,2
55,5,40,7,20,2
56,4,35,8,25,2
56,4,35,8,30,2
56,6,40,7,20,2
56,5,30,6,25,2
56,5,40,7,20,2
57,4,35,8,25,2
57,4,35,8,30,1
57,6,40,7,20,2
57,5,30,6,25,2
57,5,40,7,20,2
58,4,35,8,25,1
58,4,35,8,30,2
58,6,40,7,20,2
58,5,30,6,25,2
58,5,40,7,20,2
59,4,35,8,25,1
59,4,35,8,30,1
59,6,40,7,20,2
59,5,30,6,25,2
59,5,40,7,20,1
60,4,35,8,25,2
60,4,35,8,30,2
60,6,40,7,20,2
60,5,30,6,25,2
60,5,40,7,20,1
61,4,35,8,25,2
61,4,35,8,30,1
61,6,40,7,20,2
61,5,30,6,25,2
61,5,40,7,20,2
62,4,35,8,25,2
62,4,35,8,30,1
62,6,40,7,20,2
62,5,30,6,25,2
62,5,40,7,20,2
63,4,35,8,25,2
63,4,35,8,30,1
63,6,40,7,20,1
63,5,30,6,25,2
63,5,40,7,20,2
64,4,35,8,25,2
64,4,35,8,30,1
64,6,40,7,20,2
64,5,30,6,25,2
64,5,40,7,20,2
65,4,35,8,25,2
65,4,35,8,30,2
65,6,40,7,20,2
65,5,30,6,25,2
65,5,40,7,20,2
66,4,35,8,25,2
66,4,35,8,30,2
66,6,40,7,20,2
66,5,30,6,25,2
66,5,40,7,20,2
67,4,35,8,25,1
67,4,35,8,30,2
67,6,40,7,20,1
67,5,30,6,25,1
67,5,40,7,20,1
68,4,35,8,25,1
68,4,35,8,30,2
68,6,40,7,20,2
68,5,30,6,25,2
68,5,40,7,20,2
69,4,35,8,25,2
69,4,35,8,30,1
69,6,40,7,20,2
69,5,30,6,25,2
69,5,40,7,20,2
70,4,35,8,25,2
70,4,35,8,30,2
70,6,40,7,20,2
70,5,30,6,25,1
70,5,40,7,20,2
71,4,35,8,25,1
71,4,35,8,30,2
71,6,40,7,20,2
71,5,30,6,25,1
71,5,40,7,20,1
72,4,35,8,25,1
72,4,35,8,30,1
72,6,40,7,20,2
72,5,30,6,25,2
72,5,40,7,20,2
73,4,35,8,25,1
73,4,35,8,30,2
73,6,40,7,20,2
73,5,30,6,25,2
73,5,40,7,20,2
74,4,35,8,25,2
74,4,35,8,30,2
74,6,40,7,20,2
74,5,30,6,25,2
74,5,40,7,20,2
75,4,35,8,25,1
75,4,35,8,30,1
75,6,40,7,20,1
75,5,30,6,25,2
75,5,40,7,20,2
76,4,35,8,25,1
76,4,35,8,30,2
76,6,40,7,20,1
76,5,30,6,25,2
76,5,40,7,20,2
77,4,35,8,25,2
77,4,35,8,30,2
77,6,40,7,20,2
77,5,30,6,25,2
77,5,40,7,20,2
78,4,35,8,25,2
78,4,35,8,30,1
78,6,40,7,20,2
78,5,30,6,25,2
78,5,40,7,20,2
79,4,35,8,25,2
79,4,35,8,30,2
79,6,40,7,20,2
79,5,30,6,25,2
79,5,40,7,20,2
80,4,35,8,25,2
80,4,35,8,30,2
80,6,40,7,20,2
80,5,30,6,25,2
80,5,40,7,20,2
81,4,35,8,25,1
81,4,35,8,30,2
81,6,40,7,20,2
81,5,30,6,25,2
81,5,40,7,20,2
82,4,35,8,25,2
82,4,35,8,30,1
82,6,40,7,20,1
82,5,30,6,25,2
82,5,40,7,20,1
83,4,35,8,25,2
83,4,35,8,30,2
83,6,40,7,20,2
83,5,30,6,25,2
83,5,40,7,20,2
84,4,35,8,25,1
84,4,35,8,30,2
84,6,40,7,20,2
84,5,30,6,25,2
84,5,40,7,20,2
85,4,35,8,25,2
85,4,35,8,30,2
85,6,40,7,20,2
85,5,30,6,25,2
85,5,40,7,20,1
86,4,35,8,25,1
86,4,35,8,30,2
86,6,40,7,20,2
86,5,30,6,25,2
86,5,40,7,20,1
87,4,35,8,25,1
87,4,35,8,30,2
87,6,40,7,20,2
87,5,30,6,25,1
87,5,40,7,20,2
88,4,35,8,25,2
88,4,35,8,30,1
88,6,40,7,20,2
88,5,30,6,25,2
88,5,40,7,20,1
89,4,35,8,25,1
89,4,35,8,30,2
89,6,40,7,20,2
89,5,30,6,25,2
89,5,40,7,20,2
90,4,35,8,25,2
90,4,35,8,30,2
90,6,40,7,20,2
90,5,30,6,25,1
90,5,40,7,20,1
91,4,35,8,25,2
91,4,35,8,30,1
91,6,40,7,20,2
91,5,30,6,25,2
91,5,40,7,20,2
92,4,35,8,25,1
92,4,35,8,30,1
92,6,40,7,20,2
92,5,30,6,25,1
92,5,40,7,20,2
93,4,35,8,25,1
93,4,35,8,30,1
93,6,40,7,20,2
93,5,30,6,25,2
93,5,40,7,20,2
94,4,35,8,25,2
94,4,35,8,30,1
94,6,40,7,20,2
94,5,30,6,25,1
94,5,40,7,20,2
95,4,35,8,25,1
95,4,35,8,30,2
95,6,40,7,20,1
95,5,30,6,25,2
95,5,40,7,20,2
96,4,35,8,25,2
96,4,35,8,30,1
96,6,40,7,20,2
96,5,30,6,25,2
96,5,40,7,20,2
97,4,35,8,25,1
97,4,35,8,30,2
97,6,40,7,20,2
97,5,30,6,25,2
97,5,40,7,20,2
98,4,35,8,25,2
98,4,35,8,30,1
98,6,40,7,20,2
98,5,30,6,25,2
98,5,40,7,20,2
99,4,35,8,25,2
99,4,35,8,30,2
99,6,40,7,20,2
99,5,30,6,25,2
99,5,40,7,20,2
100,4,35,8,25,1
100,4,35,8,30,1
100,6,40,7,20,2
100,5,30,6,25,2
100,5,40,7,20,2
101,4,35,8,25,2
101,4,35,8,30,2
101,6,40,7,20,2
101,5,30,6,25,2
101,5,40,7,20,2
102,4,35,8,25,1
102,4,35,8,30,2
102,6,40,7,20,2
102,5,30,6,25,2
102,5,40,7,20,2
103,4,35,8,25,1
103,4,35,8,30,1
103,6,40,7,20,2
103,5,30,6,25,2
103,5,40,7,20,2
104,4,35,8,25,2
104,4,35,8,30,1
104,6,40,7,20,2
104,5,30,6,25,2
104,5,40,7,20,1
105,4,35,8,25,2
105,4,35,8,30,1
105,6,40,7,20,2
105,5,30,6,25,2
105,5,40,7,20,2
106,4,35,8,25,2
106,4,35,8,30,2
106,6,40,7,20,2
106,5,30,6,25,1
106,5,40,7,20,2
107,4,35,8,25,2
107,4,35,8,30,2
107,6,40,7,20,2
107,5,30,6,25,2
107,5,40,7,20,2
108,4,35,8,25,2
108,4,35,8,30,2
108,6,40,7,20,2
108,5,30,6,25,2
108,5,40,7,20,2
109,4,35,8,25,2
109,4,35,8,30,2
109,6,40,7,20,2
109,5,30,6,25,2
109,5,40,7,20,2
110,4,35,8,25,2
110,4,35,8,30,1
110,6,40,7,20,2
110,5,30,6,25,2
110,5,40,7,20,2
111,4,35,8,25,1
111,4,35,8,30,2
111,6,40,7,20,2
111,5,30,6,25,2
111,5,40,7,20,2
112,4,35,8,25,2
112,4,35,8,30,1
112,6,40,7,20,1
112,5,30,6,25,2
112,5,40,7,20,2
113,4,35,8,25,2
113,4,35,8,30,1
113,6,40,7,20,2
113,5,30,6,25,1
113,5,40,7,20,2
114,4,35,8,25,2
114,4,35,8,30,1
114,6,40,7,20,2
114,5,30,6,25,2
114,5,40,7,20,2
115,4,35,8,25,2
115,4,35,8,30,2
115,6,40,7,20,2
115,5,30,6,25,2
115,5,40,7,20,2
116,4,35,8,25,2
116,4,35,8,30,2
116,6,40,7,20,2
116,5,30,6,25,2
116,5,40,7,20,2
117,4,35,8,25,2
117,4,35,8,30,2
117,6,40,7,20,2
117,5,30,6,25,2
117,5,40,7,20,2
118,4,35,8,25,2
118,4,35,8,30,1
118,6,40,7,20,2
118,5,30,6,25,1
118,5,40,7,20,2
119,4,35,8,25,1
119,4,35,8,30,1
119,6,40,7,20,2
119,5,30,6,25,2
119,5,40,7,20,2
120,4,35,8,25,2
120,4,35,8,30,2
120,6,40,7,20,2
120,5,30,6,25,2
120,5,40,7,20,1
121,4,35,8,25,2
121,4,35,8,30,1
121,6,40,7,20,2
121,5,30,6,25,1
121,5,40,7,20,2
122,4,35,8,25,2
122,4,35,8,30,2
122,6,40,7,20,2
122,5,30,6,25,2
122,5,40,7,20,2
123,4,35,8,25,1
123,4,35,8,30,2
123,6,40,7,20,2
123,5,30,6,25,1
123,5,40,7,20,2
124,4,35,8,25,2
124,4,35,8,30,1
124,6,40,7,20,2
124,5,30,6,25,2
124,5,40,7,20,2
125,4,35,8,25,1
125,4,35,8,30,2
125,6,40,7,20,2
125,5,30,6,25,1
125,5,40,7,20,2
126,4,35,8,25,1
126,4,35,8,30,2
126,6,40,7,20,2
126,5,30,6,25,2
126,5,40,7,20,2
127,4,35,8,25,2
127,4,35,8,30,2
127,6,40,7,20,2
127,5,30,6,25,2
127,5,40,7,20,1
128,4,35,8,25,2
128,4,35,8,30,2
128,6,40,7,20,2
128,5,30,6,25,1
128,5,40,7,20,2
129,4,35,8,25,1
129,4,35,8,30,1
129,6,40,7,20,2
129,5,30,6,25,2
129,5,40,7,20,2
130,4,35,8,25,2
130,4,35,8,30,2
130,6,40,7,20,2
130,5,30,6,25,2
130,5,40,7,20,2
131,4,35,8,25,2
131,4,35,8,30,2
131,6,40,7,20,2
131,5,30,6,25,2
131,5,40,7,20,2
132,4,35,8,25,1
132,4,35,8,30,1
132,6,40,7,20,2
132,5,30,6,25,2
132,5,40,7,20,2
133,4,35,8,25,1
133,4,35,8,30,2
133,6,40,7,20,2
133,5,30,6,25,2
133,5,40,7,20,1
134,4,35,8,25,1
134,4,35,8,30,2
134,6,40,7,20,1
134,5,30,6,25,2
134,5,40,7,20,2
135,4,35,8,25,1
135,4,35,8,30,1
135,6,40,7,20,1
135,5,30,6,25,2
135,5,40,7,20,2
136,4,35,8,25,2
136,4,35,8,30,2
136,6,40,7,20,2
136,5,30,6,25,2
136,5,40,7,20,2
137,4,35,8,25,2
137,4,35,8,30,1
137,6,40,7,20,2
137,5,30,6,25,2
137,5,40,7,20,2
138,4,35,8,25,1
138,4,35,8,30,1
138,6,40,7,20,2
138,5,30,6,25,2
138,5,40,7,20,2
139,4,35,8,25,2
139,4,35,8,30,1
139,6,40,7,20,2
139,5,30,6,25,2
139,5,40,7,20,2
140,4,35,8,25,2
140,4,35,8,30,2
140,6,40,7,20,2
140,5,30,6,25,1
140,5,40,7,20,2
141,4,35,8,25,1
141,4,35,8,30,1
141,6,40,7,20,2
141,5,30,6,25,1
141,5,40,7,20,2
142,4,35,8,25,2
142,4,35,8,30,1
142,6,40,7,20,2
142,5,30,6,25,1
142,5,40,7,20,2
143,4,35,8,25,2
143,4,35,8,30,2
143,6,40,7,20,2
143,5,30,6,25,2
143,5,40,7,20,2
144,4,35,8,25,1
144,4,35,8,30,2
144,6,40,7,20,2
144,5,30,6,25,1
144,5,40,7,20,2
145,4,35,8,25,2
145,4,35,8,30,2
145,6,40,7,20,2
145,5,30,6,25,2
145,5,40,7,20,2
146,4,35,8,25,2
146,4,35,8,30,1
146,6,40,7,20,2
146,5,30,6,25,1
146,5,40,7,20,2
147,4,35,8,25,1
147,4,35,8,30,2
147,6,40,7,20,2
147,5,30,6,25,2
147,5,40,7,20,2
148,4,35,8,25,2
148,4,35,8,30,1
148,6,40,7,20,2
148,5,30,6,25,2
148,5,40,7,20,2
149,4,35,8,25,1
149,4,35,8,30,1
149,6,40,7,20,2
149,5,30,6,25,2
149,5,40,7,20,2
150,4,35,8,25,2
150,4,35,8,30,2
150,6,40,7,20,2
150,5,30,6,25,2
150,5,40,7,20,2
151,4,35,8,25,1
151,4,35,8,30,2
151,6,40,7,20,2
151,5,30,6,25,2
151,5,40,7,20,1
152,4,35,8,25,2
152,4,35,8,30,1
152,6,40,7,20,2
152,5,30,6,25,2
152,5,40,7,20,2
153,4,35,8,25,1
153,4,35,8,30,1
153,6,40,7,20,2
153,5,30,6,25,2
153,5,40,7,20,2
154,4,35,8,25,2
154,4,35,8,30,1
154,6,40,7,20,2
154,5,30,6,25,2
154,5,40,7,20,2
155,4,35,8,25,1
155,4,35,8,30,2
155,6,40,7,20,1
155,5,30,6,25,1
155,5,40,7,20,2
156,4,35,8,25,1
156,4,35,8,30,1
156,6,40,7,20,2
156,5,30,6,25,2
156,5,40,7,20,2
157,4,35,8,25,2
157,4,35,8,30,1
157,6,40,7,20,2
157,5,30,6,25,2
157,5,40,7,20,2
158,4,35,8,25,2
158,4,35,8,30,1
158,6,40,7,20,2
158,5,30,6,25,2
158,5,40,7,20,2
159,4,35,8,25,2
159,4,35,8,30,1
159,6,40,7,20,2
159,5,30,6,25,2
159,5,40,7,20,2
160,4,35,8,25,2
160,4,35,8,30,2
160,6,40,7,20,2
160,5,30,6,25,2
160,5,40,7,20,2
161,4,35,8,25,1
161,4,35,8,30,1
161,6,40,7,20,2
161,5,30,6,25,2
161,5,40,7,20,2
162,4,35,8,25,2
162,4,35,8,30,2
162,6,40,7,20,2
162,5,30,6,25,2
162,5,40,7,20,2
163,4,35,8,25,2
163,4,35,8,30,2
163,6,40,7,20,2
163,5,30,6,25,2
163,5,40,7,20,2
164,4,35,8,25,1
164,4,35,8,30,2
164,6,40,7,20,2
164,5,30,6,25,1
164,5,40,7,20,2
165,4,35,8,25,2
165,4,35,8,30,1
165,6,40,7,20,2
165,5,30,6,25,2
165,5,40,7,20,2
166,4,35,8,25,2
166,4,35,8,30,2
166,6,40,7,20,2
166,5,30,6,25,2
166,5,40,7,20,2
167,4,35,8,25,1
167,4,35,8,30,1
167,6,40,7,20,2
167,5,30,6,25,1
167,5,40,7,20,2
168,4,35,8,25,1
168,4,35,8,30,2
168,6,40,7,20,2
168,5,30,6,25,1
168,5,40,7,20,2
169,4,35,8,25,1
169,4,35,8,30,2
169,6,40,7,20,2
169,5,30,6,25,2
169,5,40,7,20,1
170,4,35,8,25,2
170,4,35,8,30,1
170,6,40,7,20,2
170,5,30,6,25,1
170,5,40,7,20,2
171,4,35,8,25,1
171,4,35,8,30,1
171,6,40,7,20,2
171,5,30,6,25,2
171,5,40,7,20,1
172,4,35,8,25,2
172,4,35,8,30,1
172,6,40,7,20,2
172,5,30,6,25,2
172,5,40,7,20,1
173,4,35,8,25,2
173,4,35,8,30,1
173,6,40,7,20,2
173,5,30,6,25,2
173,5,40,7,20,2
174,4,35,8,25,1
174,4,35,8,30,2
174,6,40,7,20,2
174,5,30,6,25,2
174,5,40,7,20,2
175,4,35,8,25,1
175,4,35,8,30,2
175,6,40,7,20,2
175,5,30,6,25,1
175,5,40,7,20,1
176,4,35,8,25,1
176,4,35,8,30,2
176,6,40,7,20,2
176,5,30,6,25,1
176,5,40,7,20,2
177,4,35,8,25,1
177,4,35,8,30,1
177,6,40,7,20,1
177,5,30,6,25,1
177,5,40,7,20,2
178,4,35,8,25,1
178,4,35,8,30,2
178,6,40,7,20,2
178,5,30,6,25,1
178,5,40,7,20,1
179,4,35,8,25,2
179,4,35,8,30,2
179,6,40,7,20,2
179,5,30,6,25,2
179,5,40,7,20,2
180,4,35,8,25,1
180,4,35,8,30,1
180,6,40,7,20,2
180,5,30,6,25,1
180,5,40,7,20,1
181,4,35,8,25,1
181,4,35,8,30,2
181,6,40,7,20,2
181,5,30,6,25,2
181,5,40,7,20,2
182,4,35,8,25,2
182,4,35,8,30,1
182,6,40,7,20,2
182,5,30,6,25,2
182,5,40,7,20,2
183,4,35,8,25,2
183,4,35,8,30,1
183,6,40,7,20,2
183,5,30,6,25,2
183,5,40,7,20,2
184,4,35,8,25,1
184,4,35,8,30,1
184,6,40,7,20,2
184,5,30,6,25,2
184,5,40,7,20,2
185,4,35,8,25,2
185,4,35,8,30,2
185,6,40,7,20,2
185,5,30,6,25,2
185,5,40,7,20,2
186,4,35,8,25,1
186,4,35,8,30,1
186,6,40,7,20,2
186,5,30,6,25,2
186,5,40,7,20,2
187,4,35,8,25,1
187,4,35,8,30,2
187,6,40,7,20,2
187,5,30,6,25,2
187,5,40,7,20,2
188,4,35,8,25,1
188,4,35,8,30,1
188,6,40,7,20,2
188,5,30,6,25,1
188,5,40,7,20,2
189,4,35,8,25,2
189,4,35,8,30,2
189,6,40,7,20,2
189,5,30,6,25,2
189,5,40,7,20,2
190,4,35,8,25,1
190,4,35,8,30,1
190,6,40,7,20,2
190,5,30,6,25,2
190,5,40,7,20,2
191,4,35,8,25,2
191,4,35,8,30,2
191,6,40,7,20,2
191,5,30,6,25,2
191,5,40,7,20,1
192,4,35,8,25,1
192,4,35,8,30,1
192,6,40,7,20,2
192,5,30,6,25,1
192,5,40,7,20,2
193,4,35,8,25,2
193,4,35,8,30,2
193,6,40,7,20,2
193,5,30,6,25,2
193,5,40,7,20,2
194,4,35,8,25,1
194,4,35,8,30,2
194,6,40,7,20,2
194,5,30,6,25,2
194,5,40,7,20,2
195,4,35,8,25,2
195,4,35,8,30,2
195,6,40,7,20,2
195,5,30,6,25,1
195,5,40,7,20,1
196,4,35,8,25,1
196,4,35,8,30,2
196,6,40,7,20,2
196,5,30,6,25,1
196,5,40,7,20,2
197,4,35,8,25,2
197,4,35,8,30,1
197,6,40,7,20,2
197,5,30,6,25,1
197,5,40,7,20,2
198,4,35,8,25,2
198,4,35,8,30,1
198,6,40,7,20,2
198,5,30,6,25,2
198,5,40,7,20,2
199,4,35,8,25,2
199,4,35,8,30,2
199,6,40,7,20,2
199,5,30,6,25,2
199,5,40,7,20,2
200,4,35,8,25,1
200,4,35,8,30,1
200,6,40,7,20,2
200,5,30,6,25,2
200,5,40,7,20,2
